title,url,status,sistema,sistema_simplificat,tipus_personal,tipus_personal_simplificat,grup_titulacio,grup_titulacio_simplificat,perfil_recerca,data_inici,data_final,n_materies,n_materies_cap,requereix_angles,requereix_catala,requereix_catala_c1,requisit_catala_simplificat,materia_informatica,materia_tecnologia,materia_enginyeria,cluster
1 plaça d'Analista de dades,https://cido.diba.cat/oposicions/21237527/1-placa-danalista-de-dades-fundacio-de-gestio-sanitaria-de-lhospital-de-la-santa-creu-i-sant-pau,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,No_recerca,NA,2026-04-11,4,4,FALSE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,1
1 plaça d'Analista de SAP ISH,https://cido.diba.cat/oposicions/21237483/1-placa-danalista-de-sap-ish-fundacio-de-gestio-sanitaria-de-lhospital-de-la-santa-creu-i-sant-pau,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,No_recerca,NA,2026-04-11,2,2,FALSE,TRUE,FALSE,catala_altre,TRUE,FALSE,TRUE,1
1 plaça de MSCA Doctoral Candidate (DC10) - Agile node-level fault detection and classification (SAILING project),https://cido.diba.cat/oposicions/21245662/1-placa-de-msca-doctoral-candidate-dc10-agile-node-level-fault-detection-and-classification-sailing-project-institut-de-recerca-en-energia-de-catalunya-irec,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-06,6,6,FALSE,FALSE,FALSE,no_especificat,FALSE,TRUE,TRUE,1
1 plaça de MSCA Doctoral Candidate (DC8) - Scalable and Optimized Energy Distribution in Internet of Energy (SAILING project),https://cido.diba.cat/oposicions/21246489/1-placa-de-msca-doctoral-candidate-dc8-scalable-and-optimized-energy-distribution-in-internet-of-energy-sailing-project-institut-de-recerca-en-energia-de-catalunya-irec,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-06,6,6,FALSE,FALSE,FALSE,no_especificat,FALSE,TRUE,TRUE,1
1 plaça de R2 - Junior Postdoctoral Researcher in Applied Artificial Intelligence for Materials Characterization and Process Monitoring,https://cido.diba.cat/oposicions/21246531/1-placa-de-r2-junior-postdoctoral-researcher-in-applied-artificial-intelligence-for-materials-characterization-and-process-monitoring-institut-de-recerca-en-energia-de-catalunya-irec,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-06,6,6,TRUE,FALSE,FALSE,no_especificat,FALSE,TRUE,TRUE,3
1 plaça de R2 - Postdoctoral Researcher in AI-Driven Automated Platforms for Accelerated Materials Research,https://cido.diba.cat/oposicions/21245417/1-placa-de-r2-postdoctoral-researcher-in-ai-driven-automated-platforms-for-accelerated-materials-research-institut-de-recerca-en-energia-de-catalunya-irec,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-06,5,5,TRUE,FALSE,FALSE,no_especificat,FALSE,FALSE,TRUE,3
1 plaça de Tècnic auxiliar informàtica,https://cido.diba.cat/oposicions/21039026/1-placa-de-tecnic-auxiliar-informatica-ajuntament-de-calella,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Laboral,laboral_no_temporal,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",no_universitari,No_recerca,NA,2026-04-08,1,1,FALSE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
"1 plaça de Tècnic auxiliar d'administració digital, innovació i millora de processos",https://cido.diba.cat/oposicions/21123921/1-placa-de-tecnic-auxiliar-dadministracio-digital-innovacio-i-millora-de-processos-ajuntament-de-lloret-de-mar,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Funcionari,funcionari_o_interi,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",no_universitari,No_recerca,NA,2026-04-08,3,3,FALSE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
1 plaça de Tècnic auxiliar d'informàtica,https://cido.diba.cat/oposicions/21123948/1-placa-de-tecnic-auxiliar-dinformatica-ajuntament-de-lloret-de-mar,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Funcionari,funcionari_o_interi,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",no_universitari,No_recerca,NA,2026-04-08,3,3,FALSE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
1 plaça de Bioinformatics Scientist (Hinxton),https://cido.diba.cat/oposicions/21224141/1-placa-de-bioinformatics-scientist-hinxton-consorci-parc-de-recerca-biomedica-de-barcelona-prbb-european-molecular-biology-laboratory-embl,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,Recerca,NA,2026-04-08,3,3,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
1 plaça de Tècnic de Laboratori al Grup de recerca en comunicació intercel·lular en càncer i envelliment,https://cido.diba.cat/oposicions/21224103/1-placa-de-tecnic-de-laboratori-al-grup-de-recerca-en-comunicacio-intercellular-en-cancer-i-envelliment-fundacio-institut-hospital-del-mar-dinvestigacions-mediques-imim,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-15,3,3,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,1
1 plaça de Postdoc Researcher: Mobile Robotics & AI - Social Human-Robot Interaction (SOCIAL¿PIA),https://cido.diba.cat/oposicions/21231757/1-placa-de-postdoc-researcher-mobile-robotics-ai-social-human-robot-interaction-socialpia-ministerio-de-ciencia-innovacion-y-universidades-consejo-superior-de-investigaciones-cientificas-csic-institut-de-robotica-i-informatica-industrial-irii,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-30,4,4,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,TRUE,1
1 plaça de Pràctiques Analytics - IA,https://cido.diba.cat/oposicions/21222954/1-placa-de-practiques-analytics-ia-upcnet-sl,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",no_universitari,No_recerca,NA,2026-04-09,2,2,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
1 plaça de Research engineer - R data analysis tools developer (RE2),https://cido.diba.cat/oposicions/21213714/1-placa-de-research-engineer-r-data-analysis-tools-developer-re2-barcelona-supercomputing-center-centro-nacional-de-supercomputacion-bsc-cns,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,Recerca,NA,2026-04-04,4,4,TRUE,FALSE,FALSE,no_especificat,TRUE,TRUE,TRUE,3
1 plaça de Predoctoral Fellow on synergistic health effects of compound exposures and multi-hazard early warning systems,https://cido.diba.cat/oposicions/21145774/1-placa-de-predoctoral-fellow-on-synergistic-health-effects-of-compound-exposures-and-multi-hazard-early-warning-systems-institut-de-salut-global-de-barcelona-isglobal,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-12-31,5,5,FALSE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,1
