seed,n_train,n_test,millor_iteracio,logloss_cv,threshold,auc_test,accuracy,sensibilitat_recerca,especificitat_no_recerca
74,91,23,153,0.3573911567992942,0.35,0.9545454545454546,0.8695652173913043,0.9166666666666666,0.8181818181818182
75,91,23,80,0.3762939737393996,0.45,0.8409090909090909,0.8695652173913043,1,0.7272727272727273
76,91,23,91,0.4336871624123632,0.45,0.9734848484848485,0.9130434782608695,0.9166666666666666,0.9090909090909091
77,91,23,95,0.38444630423881754,0.44,0.9318181818181818,0.8695652173913043,0.9166666666666666,0.8181818181818182
78,91,23,72,0.4362652072563158,0.48000000000000004,0.9848484848484849,0.8695652173913043,0.9166666666666666,0.8181818181818182
79,91,23,104,0.3361628240547846,0.47000000000000003,0.8409090909090909,0.7391304347826086,0.8333333333333334,0.6363636363636364
80,91,23,141,0.3814965244914438,0.38,0.9166666666666666,0.8695652173913043,1,0.7272727272727273
81,91,23,107,0.3667980550891824,0.25,0.9318181818181818,0.8695652173913043,1,0.7272727272727273
82,91,23,114,0.3465044184816962,0.43000000000000005,0.9015151515151515,0.7391304347826086,0.5,1
83,91,23,105,0.38736961555142135,0.38,0.8522727272727273,0.8260869565217391,1,0.6363636363636364
84,91,23,93,0.3591542986771691,0.26,0.9204545454545454,0.8695652173913043,1,0.7272727272727273
85,91,23,85,0.3679011622458532,0.43000000000000005,0.946969696969697,0.8695652173913043,0.8333333333333334,0.9090909090909091
86,91,23,84,0.40651797644401844,0.46,0.9204545454545454,0.9130434782608695,0.9166666666666666,0.9090909090909091
87,91,23,115,0.37301477618646206,0.35,0.9431818181818182,0.9130434782608695,1,0.8181818181818182
88,91,23,117,0.4014817194091134,0.48000000000000004,0.9545454545454546,0.9130434782608695,1,0.8181818181818182
89,91,23,103,0.3990497345536035,0.34,0.9659090909090909,0.8695652173913043,0.9166666666666666,0.8181818181818182
90,91,23,60,0.4498126693374928,0.42000000000000004,0.9734848484848485,0.9130434782608695,1,0.8181818181818182
91,91,23,205,0.3568575191668753,0.37,0.8939393939393939,0.8260869565217391,0.8333333333333334,0.8181818181818182
92,91,23,80,0.4682993224271906,0.31,1,0.9565217391304348,1,0.9090909090909091
93,91,23,159,0.3843531617644237,0.36,0.9393939393939394,0.9130434782608695,0.9166666666666666,0.9090909090909091
94,91,23,120,0.35458152519630626,0.34,0.9318181818181818,0.9130434782608695,0.8333333333333334,1
95,91,23,152,0.35312682869054424,0.35,0.9204545454545454,0.9130434782608695,1,0.8181818181818182
96,91,23,117,0.43533006094865134,0.44,1,1,1,1
97,91,23,137,0.2891281652493363,0.33,0.821969696969697,0.7391304347826086,0.6666666666666666,0.8181818181818182
98,91,23,171,0.38100126838823506,0.35,0.9356060606060606,0.8260869565217391,0.9166666666666666,0.7272727272727273
99,91,23,94,0.396721591745988,0.38,1,0.9130434782608695,1,0.8181818181818182
100,91,23,196,0.37504197546688756,0.49,0.9545454545454546,0.8260869565217391,0.9166666666666666,0.7272727272727273
